mode,outcome,b,se,p,N,r2
delayed_lag2_ctrl_lag1,d_cash,-1.168427684258203,1.5920105,.46299011,806,
delayed_lag2_ctrl_lag1,d_emp,.0161087141153096,.026364399,.5411979,806,
delayed_lag2_ctrl_lag1,d_totdebt,-3.507333006576998,4.1364374,.39648724,806,
delayed_lag2_ctrl_lag1,investment,-2.665080269441421,3.2306099,.40940198,806,
delayed_lag2_ctrl_lag1,other,5.681034487819438,5.4728456,.29925129,806,
delayed_lag2_ctrl_lag1,payout,-.5111457260486115,.9945578,.60729206,806,.084538765
delayed_lag2_ctrl_lag1,total,4.843713918300727,5.1900129,.35067752,806,.083123207
lossyear_idx_ctrl_lag1,d_cash,-.5638850538523946,.23590951,.01683645,942,.073807307
lossyear_idx_ctrl_lag1,d_emp,-.0046035756200157,.0035540874,.19522002,942,.1994025
lossyear_idx_ctrl_lag1,d_totdebt,.4373579783397206,.96009451,.64872342,942,.21310039
lossyear_idx_ctrl_lag1,investment,3.885897929401551,.94972795,.000042842465,942,
lossyear_idx_ctrl_lag1,other,.360887253992007,.61503786,.5573566,942,.11124871
lossyear_idx_ctrl_lag1,payout,.1599747217392824,.22731699,.48158741,942,.10144428
lossyear_idx_ctrl_lag1,total,3.40551687037244,1.5149902,.024583809,942,.19322862
receipt_lag1_ctrl_lag0,d_cash,.95165556471311,.50008655,.057042934,2486,
receipt_lag1_ctrl_lag0,d_emp,-.012911645884161,.0056044078,.021231756,2486,.010155089
receipt_lag1_ctrl_lag0,d_totdebt,-.6871713803749362,1.0127029,.49742189,2486,.043488722
receipt_lag1_ctrl_lag0,investment,1.778760142609799,.71276069,.012574699,2486,.12946796
receipt_lag1_ctrl_lag0,other,1.757974283139764,1.482813,.23579329,2486,.09244395
receipt_lag1_ctrl_lag0,payout,.0474837454045231,.46689075,.91899318,2486,.10137295
receipt_lag1_ctrl_lag0,total,5.223045047472111,2.1830614,.016732546,2486,.079702653
receipt_lag1_ctrl_lag1,d_cash,-.2044362340843582,.22189093,.3568747,2466,.065622151
receipt_lag1_ctrl_lag1,d_emp,.001172718752986,.0028825279,.68412775,2466,.13316116
receipt_lag1_ctrl_lag1,d_totdebt,.4365054641532331,.35973468,.22497331,2466,.055941448
receipt_lag1_ctrl_lag1,investment,-.3857238373951474,.47425213,.41602847,2466,.38195753
receipt_lag1_ctrl_lag1,other,.1542705799670145,.38619098,.68954909,2466,.1062108
receipt_lag1_ctrl_lag1,payout,-.0349700140452515,.12780046,.78436911,2466,.099530965
receipt_lag1_ctrl_lag1,total,-.9073649324712377,.50208938,.070734516,2466,.26707768
receipt_lag1_ctrl_lag2,d_cash,.8424301817064519,.64271837,.18994905,2463,
receipt_lag1_ctrl_lag2,d_emp,-.0091568731257947,.0042736609,.032142833,2463,.091814324
receipt_lag1_ctrl_lag2,d_totdebt,-.8753995955560802,.91503173,.33872491,2463,.021975024
receipt_lag1_ctrl_lag2,investment,1.444358217899857,.61800832,.019433059,2463,.21178176
receipt_lag1_ctrl_lag2,other,1.738239072606555,1.3919921,.21175945,2463,.080106035
receipt_lag1_ctrl_lag2,payout,.0551886627064996,.3681666,.88084245,2463,.10383128
receipt_lag1_ctrl_lag2,total,4.955615652410654,1.91373,.0096113691,2463,.091794081
