panel,col,label,b,se,p,N,r2
A,1,KZ: constrained (top quartile),,,,,
A,2,KZ: unconstrained (bottom quartile),,,,,
A,3,Payout=0 (constrained),-.8416168425262398,1.0879185,.43916568,1355,.38402915
A,4,Payout>0 (unconstrained),.0264167745514193,.43577528,.95166171,721,.4676517
A,5,DFF<=0 (constrained),-.8416168425262398,1.0879185,.43916568,1355,.38402915
A,6,DFF>0 (unconstrained),.0264167745514193,.43577528,.95166171,721,.4676517
B,1,High Tobin's Q (top quartile),1.600388335560104,.38245684,.000028580222,617,.58358192
B,2,Low Tobin's Q (bottom quartile),-.8245018721694281,1.4929918,.58077836,617,.52952164
B,3,Refund year 2002,.5162405970988304,.33936277,.12820821,1236,.44368345
B,4,Refund year 2003,-.9191626944282359,.67098343,.17072627,1230,.39597315
B,5,Multinational,-.3946948376621248,.53405857,.45987794,516,.43182307
B,6,Domestic,.5041454291217599,.44397685,.25615671,164,.84419149
